"BodyAccMean_X" "BodyAccMean_Y" "BodyAccMean_Z" "GravityAccMean_X" "GravityAccMean_Y" "GravityAccMean_Z" "BodyGyroMean_X" "BodyGyroMean_Y" "BodyGyroMean_Z" "BodyAccStd_X" "BodyAccStd_Y" "BodyAccStd_Z" "GravityAccStd_X" "GravityAccStd_Y" "GravityAccStd_Z" "BodyGyroStd_X" "BodyGyroStd_Y" "BodyGyroStd_Z" "VolunteerID" "ActivityDescr"
0.27859589 -0.015231928 -0.098908415 0.92371888 -0.31398567 0.12787786 -0.025346783 -0.074217186 0.087760115 -0.99878507 -0.98194306 -0.99137882 -0.99896777 -0.98598299 -0.98116601 -0.99446328 -0.99282756 -0.99050543 2 "STANDING"
0.27915178 -0.021879444 -0.10973077 0.92403746 -0.31295562 0.1314731 -0.029174831 -0.079426371 0.092674028 -0.99778103 -0.99295121 -0.98568028 -0.99837133 -0.99227971 -0.99206883 -0.99579842 -0.99382668 -0.99431145 2 "STANDING"
0.27454383 -0.023145294 -0.1125396 0.92445923 -0.31568266 0.13103466 -0.02794305 -0.07935183 0.096964901 -0.99620456 -0.9915728 -0.98751828 -0.9992491 -0.99095888 -0.98946132 -0.99489468 -0.9947356 -0.9963317 2 "STANDING"
0.26906631 -0.027685967 -0.11017794 0.92317418 -0.31981835 0.12898325 -0.026941731 -0.068240615 0.089771735 -0.9968836 -0.9864395 -0.9884791 -0.99281837 -0.98326068 -0.99353816 -0.99388537 -0.98820559 -0.98344383 2 "STANDING"
0.27557925 -0.018936424 -0.097409776 0.92036099 -0.32552855 0.12910023 -0.026364477 -0.064583159 0.073449259 -0.99606469 -0.96822549 -0.98069598 -0.99243056 -0.98164027 -0.99003989 -0.99254536 -0.98826303 -0.98518426 2 "STANDING"
0.28193083 -0.004880615 -0.086106145 0.91979943 -0.32576314 0.13401665 -0.076452794 -0.015582021 0.025521434 -0.98907559 -0.95900626 -0.97302388 -0.99519236 -0.98160614 -0.96913566 -0.84566376 -0.91612436 -0.91722556 2 "STANDING"
0.31107792 -0.019430625 -0.10186634 0.87581327 -0.42668132 0.038234377 0.00099342639 -0.11268679 -0.0037551694 -0.9366878 -0.84018585 -0.81682639 -0.86986537 -0.8714715 -0.82092428 -0.97841972 -0.97751116 -0.9574625 2 "STANDING"
0.26232825 -0.023257054 -0.12552494 0.88997692 -0.42265611 0.044050888 -0.0061088604 -0.08363601 0.034434823 -0.98456111 -0.91337982 -0.91267279 -0.97024526 -0.9456811 -0.91993724 -0.98668458 -0.98896619 -0.97230704 2 "STANDING"
0.28841575 -0.003485395 -0.083827858 0.88529186 -0.42609871 0.038517398 -0.019768993 -0.079931119 0.077789083 -0.99457065 -0.97835984 -0.97994262 -0.98971312 -0.97043824 -0.95956976 -0.9883864 -0.99057798 -0.98068603 2 "STANDING"
0.27116593 -0.025972908 -0.094923481 0.88868488 -0.41889767 0.046875908 -0.026489988 -0.086821561 0.12018605 -0.97012403 -0.90187818 -0.9652996 -0.98890631 -0.98323615 -0.97134623 -0.95170794 -0.96834668 -0.94386544 2 "STANDING"
0.25309467 -0.044192268 -0.13929762 0.88639445 -0.42463213 0.049435445 -0.025536965 -0.11232642 0.12869787 -0.96892213 -0.9103836 -0.91886033 -0.97642372 -0.94935411 -0.98430715 -0.94013604 -0.9574808 -0.93900763 2 "STANDING"
0.27133883 -0.029954058 -0.11859533 0.8782922 -0.44115702 0.039357117 -0.031374775 -0.053952104 0.073211718 -0.96093148 -0.90503507 -0.87126958 -0.97823679 -0.94589569 -0.93292764 -0.95113006 -0.91043949 -0.91614341 2 "STANDING"
0.29926682 0.011798517 -0.031653276 0.87638473 -0.44715997 0.039266249 -0.035775411 -0.010620763 0.03852549 -0.94875426 -0.84418244 -0.88070536 -0.98946113 -0.97012703 -0.91379833 -0.95053621 -0.85592718 -0.74673048 2 "STANDING"
0.29389749 0.01115091 -0.069281198 0.88282593 -0.43031319 0.066307063 -0.031933568 -0.080878973 0.067888599 -0.96241329 -0.86333992 -0.85995713 -0.97763912 -0.91799566 -0.86717267 -0.95451242 -0.87379114 -0.75439235 2 "STANDING"
0.27563911 -0.015565524 -0.1254582 0.88824855 -0.41368431 0.081629881 -0.033494339 -0.10529761 0.10193292 -0.98916068 -0.96851562 -0.96872274 -0.99197651 -0.97603214 -0.969735 -0.96920737 -0.97220064 -0.96580084 2 "STANDING"
0.27225459 -0.025051205 -0.13318432 0.88833105 -0.41194179 0.075492335 -0.032800503 -0.090070366 0.11430315 -0.99115349 -0.96354868 -0.97316133 -0.99607584 -0.99233821 -0.96880022 -0.97998548 -0.98331456 -0.97736636 2 "STANDING"
0.27642711 -0.026277565 -0.12694133 0.88653599 -0.41739217 0.065348552 -0.02498197 -0.070265151 0.092864514 -0.99298881 -0.96561954 -0.9657378 -0.99497146 -0.97217475 -0.95317626 -0.98470493 -0.98444181 -0.97051035 2 "STANDING"
0.28016952 -0.014362437 -0.10047145 0.88595445 -0.42208281 0.05903586 -0.023093566 -0.066467535 0.080856878 -0.99359232 -0.9719031 -0.97793999 -0.99566606 -0.9876842 -0.98105626 -0.98872228 -0.98688683 -0.97959066 2 "STANDING"
0.27746102 -0.01584543 -0.10639347 0.88675759 -0.42075175 0.061267268 -0.02648868 -0.074340759 0.082382273 -0.99502745 -0.97159341 -0.97872472 -0.99613717 -0.98906538 -0.98159227 -0.9901469 -0.99118254 -0.9850075 2 "STANDING"
0.28837469 -0.0085476599 -0.10705876 0.88727114 -0.41949043 0.062138516 -0.02724897 -0.070042463 0.072089463 -0.99334035 -0.9619744 -0.98449309 -0.99569824 -0.98992735 -0.99078944 -0.99325049 -0.99242499 -0.98659587 2 "STANDING"
0.28590496 -0.0077447295 -0.10273652 0.89033905 -0.41431632 0.063073539 -0.030446957 -0.069251086 0.084129975 -0.99188377 -0.96571091 -0.98415868 -0.98596458 -0.97055933 -0.98387503 -0.97846434 -0.98511749 -0.98276696 2 "STANDING"
0.29648714 -0.014684879 -0.13980848 0.95201324 -0.12719693 0.17324768 -0.050171548 -0.073211502 0.1837903 -0.98771367 -0.83424238 -0.94105035 -0.97442821 -0.87785609 -0.9336702 -0.98222253 -0.95870792 -0.92994218 2 "SITTING"
0.27723542 -0.025677001 -0.11843072 0.95776214 -0.12120449 0.16651548 -0.039016643 -0.060002794 0.12573995 -0.99639048 -0.95268767 -0.96541011 -0.99215769 -0.95481082 -0.94772651 -0.98842257 -0.99042251 -0.97940389 2 "SITTING"
0.2782907 -0.014536086 -0.10524253 0.95789199 -0.12711834 0.16163958 -0.026046816 -0.067562509 0.10043377 -0.99678611 -0.98839324 -0.98950215 -0.99692667 -0.99157732 -0.99292938 -0.99622773 -0.995977 -0.97976111 2 "SITTING"
0.27815992 -0.0076678258 -0.09927102 0.95792518 -0.12454962 0.16376124 -0.022931403 -0.07347 0.078673144 -0.99697493 -0.96211178 -0.987355 -0.998006 -0.98845697 -0.9901987 -0.99632265 -0.9842731 -0.95701458 2 "SITTING"
0.27664638 -0.0049748937 -0.104754 0.95832834 -0.11858919 0.16680067 -0.025679464 -0.079004412 0.083575679 -0.99726953 -0.96546147 -0.98114499 -0.99939896 -0.97259765 -0.98544416 -0.99393599 -0.98238404 -0.95464749 2 "SITTING"
0.27829493 -0.022664347 -0.11591945 0.95832272 -0.11314063 0.16759019 -0.025950876 -0.075040768 0.096736383 -0.99724431 -0.96872118 -0.98613179 -0.99952115 -0.9913736 -0.99196495 -0.99500391 -0.9837393 -0.97191748 2 "SITTING"
0.27505303 -0.024059404 -0.10589705 0.95841903 -0.1158856 0.1660208 -0.025511187 -0.071503399 0.091317208 -0.99525842 -0.97190867 -0.98360641 -0.99888949 -0.98042137 -0.99596864 -0.99623625 -0.98402467 -0.97392163 2 "SITTING"
0.27486428 -0.01561837 -0.097528302 0.95761533 -0.11965332 0.16733906 -0.028197612 -0.072492716 0.081141936 -0.99623776 -0.98664644 -0.989707 -0.99595146 -0.99389772 -0.98683224 -0.9966929 -0.98831115 -0.98393993 2 "SITTING"
0.27871074 -0.016793927 -0.10524076 0.95685371 -0.11945235 0.17076173 -0.027541794 -0.073323286 0.080225072 -0.99859653 -0.9906669 -0.98746213 -0.99854623 -0.99717066 -0.98719726 -0.99633885 -0.98906109 -0.98681453 2 "SITTING"
0.27822455 -0.016181738 -0.1075716 0.95709207 -0.11889701 0.17216278 -0.027905922 -0.075317726 0.084110903 -0.99822604 -0.99043752 -0.98923957 -0.99865366 -0.99858765 -0.99630003 -0.99598121 -0.99154022 -0.99012716 2 "SITTING"
0.27625455 -0.016985093 -0.10885324 0.957125 -0.11843093 0.17257908 -0.028386406 -0.075428757 0.084448765 -0.99639413 -0.98567065 -0.98354536 -0.99902145 -0.997234 -0.99413399 -0.99441796 -0.98896745 -0.98331636 2 "SITTING"
0.27574674 -0.015388072 -0.10505767 0.9567784 -0.11826838 0.17243002 -0.02833208 -0.074596168 0.085722107 -0.99581447 -0.98247951 -0.9819142 -0.99838027 -0.99703086 -0.99311082 -0.99104087 -0.98628489 -0.97696868 2 "SITTING"
0.28028279 -0.019175262 -0.10932156 0.95656471 -0.11752757 0.17319654 -0.026969226 -0.075102151 0.089479676 -0.99531257 -0.975241 -0.97892176 -0.99757762 -0.99353276 -0.98846658 -0.99222869 -0.98504205 -0.97828727 2 "SITTING"
0.28540286 0.002355779 -0.16984868 0.97078586 -0.14664468 0.070036345 -0.2445337 0.051893002 -0.41735088 -0.95371281 -0.86194417 -0.78706775 -0.91948606 -0.85676875 -0.74690999 -0.9329845 -0.95320268 -0.84072691 2 "SITTING"
0.27047249 -0.0089373643 -0.095150167 0.97523081 -0.14167883 0.04680685 -0.14713738 0.0087484106 -0.16525629 -0.98563184 -0.91172769 -0.94366406 -0.9759878 -0.9309246 -0.95667189 -0.93954559 -0.95370477 -0.85682435 2 "SITTING"
0.28022445 -0.028037933 -0.12428498 0.97188567 -0.13578742 0.050809506 -0.071616512 -0.057229845 0.016180468 -0.99664261 -0.9761271 -0.98747869 -0.99583498 -0.97340841 -0.97859934 -0.95964544 -0.98873638 -0.94393931 2 "SITTING"
0.27724091 -0.01767369 -0.12039377 0.97291478 -0.14172722 0.0453806 -0.029355164 -0.077127117 0.089804957 -0.99512799 -0.9871038 -0.98904192 -0.99880018 -0.98854617 -0.97180417 -0.98336831 -0.98930227 -0.97755762 2 "SITTING"
0.27925474 -0.012044574 -0.11526539 0.97305475 -0.14153892 0.04091304 -0.015577629 -0.081883642 0.11290142 -0.98482887 -0.96879944 -0.96316567 -0.9997964 -0.98926855 -0.99196828 -0.98529386 -0.96188178 -0.96851285 2 "SITTING"
0.27981772 -0.010396061 -0.11320248 0.97327809 -0.13761653 0.038872702 -0.016789285 -0.080774312 0.12788896 -0.98493079 -0.95923068 -0.96438621 -0.99902909 -0.98490733 -0.98913861 -0.98366942 -0.95989187 -0.95371276 2 "SITTING"
0.27579491 -0.034804666 -0.10983325 0.9737383 -0.13624316 0.036339561 -0.021958268 -0.068529481 0.12529715 -0.99417869 -0.92858508 -0.99348617 -0.99904087 -0.98138727 -0.98956689 -0.99170116 -0.98209978 -0.95751786 2 "SITTING"
0.27379132 -0.041945691 -0.10724671 0.9733727 -0.14797011 0.03520866 -0.025688285 -0.073270706 0.091985955 -0.99483845 -0.94900945 -0.98929992 -0.99671867 -0.93773675 -0.99570813 -0.99661203 -0.98722753 -0.96992626 2 "SITTING"
0.27609539 -0.018046144 -0.11243656 0.97218035 -0.16143042 0.035495106 -0.026657781 -0.078053488 0.070051752 -0.99592796 -0.96849709 -0.98746474 -0.99667264 -0.9753293 -0.99333685 -0.99769397 -0.99065035 -0.98998996 2 "SITTING"
0.27767523 -0.012379484 -0.10466656 0.97156856 -0.16212082 0.034019738 -0.02730424 -0.063308856 0.075233247 -0.99824732 -0.98968847 -0.97817711 -0.99949096 -0.98790344 -0.98775243 -0.99822217 -0.99279435 -0.99301176 2 "SITTING"
0.27679437 -0.017846957 -0.099866917 0.97148516 -0.15944776 0.035579575 -0.028255667 -0.078036283 0.082192061 -0.99683186 -0.98725167 -0.97461636 -0.99947294 -0.99553439 -0.97592964 -0.99657538 -0.9817962 -0.98158003 2 "SITTING"
0.17376905 -0.024869125 -0.094733441 -0.69553313 0.72141371 0.67577988 -0.0023142606 -0.38134958 0.28917439 -0.8938616 -0.94420408 -0.96082431 -0.79814709 -0.99054068 -0.9808685 -0.95270527 -0.9294601 -0.8861205 2 "LAYING"
0.3009048 -0.023610414 -0.096890735 -0.72762928 0.71743485 0.68079188 -0.031533371 -0.24528334 0.15656219 -0.98681212 -0.974874 -0.9869338 -0.97539016 -0.98538598 -0.97649265 -0.98720614 -0.95112948 -0.94152353 2 "LAYING"
0.28567994 -0.021402652 -0.099788959 -0.72085621 0.71396105 0.68526411 -0.039082748 -0.13179261 0.079899406 -0.98882456 -0.99010644 -0.99850164 -0.97869812 -0.99342254 -0.98917087 -0.99495801 -0.97124494 -0.97196367 2 "LAYING"
0.27205902 -0.021271356 -0.10063642 -0.71824729 0.71111133 0.68862349 -0.035839184 -0.074036713 0.059131448 -0.99521892 -0.99197156 -0.99657104 -0.99439039 -0.98893361 -0.98558872 -0.99576698 -0.9882587 -0.99737727 2 "LAYING"
0.27631974 -0.017844672 -0.10385552 -0.71982373 0.70859517 0.69142117 -0.03070443 -0.057090164 0.064112225 -0.99576459 -0.99564856 -0.9942946 -0.99750135 -0.99469385 -0.99334447 -0.99802023 -0.99601934 -0.99529468 2 "LAYING"
0.27869543 -0.017640511 -0.10511841 -0.72009525 0.7081513 0.69318963 -0.02852509 -0.057714662 0.07397583 -0.99746842 -0.99845545 -0.99334269 -0.99941554 -0.998695 -0.9931461 -0.998612 -0.99716856 -0.99530842 2 "LAYING"
0.28026202 -0.018697516 -0.10968549 -0.71981933 0.70791099 0.69418107 -0.026875752 -0.065254288 0.083337246 -0.99612342 -0.99807443 -0.99196657 -0.99949955 -0.99746151 -0.99584669 -0.99826399 -0.99667695 -0.99630527 2 "LAYING"
0.29238966 -0.014798532 -0.11487816 -0.71847033 0.70722564 0.69341273 -0.024763532 -0.072646738 0.0937767 -0.99280911 -0.99112641 -0.99202521 -0.99218778 -0.99726372 -0.99388791 -0.99796997 -0.99746051 -0.99495438 2 "LAYING"
0.29089459 -0.012652477 -0.11315576 -0.71309112 0.70885242 0.6912159 -0.027288741 -0.072090637 0.083183671 -0.98930153 -0.99094197 -0.99122081 -0.97917626 -0.98876467 -0.99004222 -0.99598275 -0.99766178 -0.98418102 2 "LAYING"
0.27191593 -0.019731212 -0.10278027 -0.70914868 0.71106611 0.68994861 -0.029765371 -0.07288768 0.078529226 -0.99074021 -0.98734334 -0.99000242 -0.9903629 -0.99340582 -0.99340721 -0.99545996 -0.99727578 -0.9856536 2 "LAYING"
0.29301384 -0.01607838 -0.11018298 -0.71036516 0.70956997 0.69175181 -0.023724761 -0.073166234 0.099927166 -0.98371207 -0.97530943 -0.98214793 -0.98983768 -0.98945168 -0.98772529 -0.99203805 -0.99574285 -0.98168679 2 "LAYING"
0.33999093 -0.039323711 -0.11380871 -0.58922506 0.7846827 0.63285929 0.17650597 -0.37064377 0.63994236 -0.8552877 -0.88627572 -0.91776601 -0.689061 -0.89838755 -0.89634225 -0.90459145 -0.95892357 -0.82080238 2 "LAYING"
0.32773332 -0.012972104 -0.10934048 -0.58048716 0.77009784 0.63225034 0.061929535 -0.286331 0.34741163 -0.91832647 -0.9739953 -0.96697887 -0.84447983 -0.98368765 -0.96073927 -0.93640592 -0.9514162 -0.8546718 2 "LAYING"
0.26238254 -0.020021626 -0.099674861 -0.56016657 0.77174741 0.63096127 -0.0043025236 -0.18282093 0.16657936 -0.96097213 -0.99090799 -0.98377812 -0.95858439 -0.9925661 -0.97858753 -0.97298063 -0.97161117 -0.94420855 2 "LAYING"
0.29490692 -0.017273605 -0.10855348 -0.56364509 0.77073753 0.63399216 -0.033484636 -0.10529417 0.072248557 -0.97238323 -0.99040729 -0.99071755 -0.97033109 -0.99455166 -0.99423313 -0.98746131 -0.97160406 -0.95080412 2 "LAYING"
0.2673108 -0.017739291 -0.10418492 -0.55997593 0.77059469 0.63445297 -0.041686651 -0.073833051 0.048034885 -0.97618683 -0.98801979 -0.99327413 -0.97810879 -0.99684782 -0.99465297 -0.99627955 -0.99189099 -0.97590619 2 "LAYING"
0.29493279 -0.018148994 -0.10870259 -0.56124794 0.77026141 0.63556832 -0.039533916 -0.067116322 0.061494108 -0.97149269 -0.98887703 -0.99356016 -0.97751018 -0.99542073 -0.99390653 -0.99579403 -0.98891142 -0.97822192 2 "LAYING"
0.2843065 -0.017380345 -0.10824585 -0.55560372 0.76955427 0.63545798 -0.035580551 -0.056262295 0.058187332 -0.97250517 -0.99019849 -0.98989676 -0.96802429 -0.99841399 -0.99472111 -0.99598176 -0.99247721 -0.98540789 2 "LAYING"
0.27747775 -0.017918468 -0.10552646 -0.55417483 0.76906401 0.63554937 -0.028334978 -0.074639135 0.091224555 -0.97290191 -0.98988889 -0.98890697 -0.9783072 -0.99620099 -0.99402872 -0.99534522 -0.99173335 -0.97691929 2 "LAYING"
0.31454279 -0.015639484 -0.11205392 -0.55271292 0.76874208 0.63638767 -0.025914376 -0.073034601 0.092189631 -0.97482366 -0.99079803 -0.99323782 -0.96330987 -0.99623657 -0.9970744 -0.99650454 -0.9900894 -0.97556585 2 "LAYING"
0.27616038 -0.018258159 -0.10492036 -0.54135944 0.76948547 0.63553833 -0.029695515 -0.066395121 0.073190939 -0.97000881 -0.98965068 -0.9862869 -0.96436164 -0.99617311 -0.99427727 -0.99540408 -0.98863822 -0.98470204 2 "LAYING"
0.27628845 -0.020230299 -0.099639409 -0.54142899 0.76868403 0.63685569 -0.027499714 -0.080806128 0.097877102 -0.9720728 -0.99289582 -0.98776726 -0.97314766 -0.99265662 -0.98366111 -0.99456195 -0.99011025 -0.98234863 2 "LAYING"
0.323685 -0.015714002 -0.11094539 -0.53980076 0.76711883 0.63977993 -0.024836383 -0.074969156 0.093691936 -0.97812842 -0.99262693 -0.98885228 -0.9586241 -0.99599343 -0.98944303 -0.99600193 -0.98958453 -0.97034636 2 "LAYING"
0.27524826 -0.016467107 -0.11215011 -0.5260992 0.76781001 0.63887995 -0.028389623 -0.066310125 0.069226483 -0.96345392 -0.99113223 -0.98983504 -0.9596428 -0.99435951 -0.98795368 -0.99581234 -0.99137033 -0.97562839 2 "LAYING"
0.20396243 -0.03234452 -0.096881229 0.91990897 -0.34745672 0.019693368 -0.27833413 0.23435168 0.081746263 -0.46550359 -0.18078545 -0.45510762 -0.95363666 -0.94686234 -0.97638778 -0.61468318 -0.54311034 -0.49999531 2 "WALKING"
0.24934321 -0.003410981 -0.056041574 0.91317298 -0.35173678 0.024970325 -0.14838291 0.03197447 0.12586574 -0.39947643 -0.13784483 -0.46127072 -0.96968371 -0.97254632 -0.96882462 -0.60303438 -0.5447188 -0.48940637 2 "WALKING"
0.32505052 -0.029803725 -0.077847175 0.92082397 -0.3520701 0.03009841 -0.014336966 -0.07647036 0.10618778 -0.46511952 0.013452774 -0.36764586 -0.96114454 -0.98472398 -0.97036801 -0.59401298 -0.55650645 -0.50977172 2 "WALKING"
0.30880812 -0.022128064 -0.13210431 0.9248589 -0.35238246 0.02681797 0.029505787 -0.087303248 0.10634994 -0.51482627 0.032008875 -0.34900284 -0.97876714 -0.98277077 -0.95874721 -0.58670423 -0.53687204 -0.55344291 2 "WALKING"
0.26559921 -0.015936305 -0.12074953 0.92575074 -0.34798633 0.021833768 0.025049675 -0.1465051 0.098842885 -0.50094969 -0.16322961 -0.38942774 -0.97055292 -0.97732225 -0.98224761 -0.61504471 -0.55517439 -0.58332377 2 "WALKING"
0.18741915 -0.011533248 -0.10650963 0.93036735 -0.34693153 0.024936703 0.022319945 -0.16149855 0.11668942 -0.45085366 -0.19630865 -0.45986952 -0.96842823 -0.98123371 -0.97750411 -0.62641932 -0.54203607 -0.52634411 2 "WALKING"
0.28420274 0.013704674 -0.11395407 0.9194876 -0.35116104 0.027523213 0.001944971 -0.15024531 0.10358237 -0.4186222 -0.2075538 -0.48108057 -0.94250381 -0.97937709 -0.98968003 -0.64040169 -0.56989868 -0.4718244 2 "WALKING"
0.35782982 -0.013519015 -0.13127164 0.91756393 -0.34765802 0.024733323 -0.024701871 -0.088432858 0.027595983 -0.45242107 -0.14979588 -0.4016534 -0.95464413 -0.96741121 -0.97722989 -0.6313242 -0.60777646 -0.44940472 2 "WALKING"
0.31870911 -0.037635508 -0.13241984 0.92590036 -0.34119533 0.023588684 -0.048763033 -0.021946278 0.039371294 -0.4857706 -0.11708965 -0.37994246 -0.98140199 -0.98560203 -0.97813168 -0.6190398 -0.56741039 -0.47778854 2 "WALKING"
0.32008469 -0.010838647 -0.12170815 0.92559833 -0.34217954 0.02382803 -0.071627745 -0.024479138 0.099730883 -0.50869464 -0.14424547 -0.42732416 -0.98668843 -0.98338558 -0.9822987 -0.53605042 -0.55120125 -0.53246446 2 "WALKING"
0.19317016 -0.010586551 -0.088769599 0.92793552 -0.33813924 0.022825926 -0.044221774 -0.051792491 0.12932754 -0.45619042 -0.1118152 -0.42346766 -0.98636166 -0.96698422 -0.97486463 -0.50383089 -0.52628028 -0.46184467 2 "WALKING"
0.19471487 -0.020176701 -0.049544661 0.92382126 -0.33812038 0.026442976 -0.039110869 -0.057308636 0.081326825 -0.43733437 -0.096034303 -0.33753382 -0.96381026 -0.9646543 -0.96493235 -0.54639156 -0.51098075 -0.40604902 2 "WALKING"
0.34969095 -0.030496088 -0.10829783 0.91229101 -0.34412649 0.028520145 -0.05568188 -0.010898277 0.043130317 -0.43251962 -0.10645645 -0.33723803 -0.96068388 -0.97938009 -0.97999042 -0.54464723 -0.5279543 -0.45842506 2 "WALKING"
0.30870458 -0.024987159 -0.1238269 0.92038307 -0.34381543 0.024102024 0.0029080244 -0.092166703 0.087446841 -0.40927888 -0.16756154 -0.43056196 -0.93400525 -0.98340516 -0.97467581 -0.57359477 -0.53855626 -0.51395 2 "WALKING"
0.21102476 -0.00058166814 -0.096443768 0.93501171 -0.34177046 0.027762863 0.028731767 -0.18024732 0.14961925 -0.44507331 -0.20747868 -0.47564538 -0.98483097 -0.98719504 -0.95481318 -0.61753927 -0.57290178 -0.47151723 2 "WALKING"
0.29771925 -0.020939986 -0.11438786 0.92339513 -0.34763121 0.013877152 -0.3535482 0.26558316 0.047404204 -0.42328085 -0.1925867 -0.4015868 -0.95274418 -0.91931862 -0.96712389 -0.5947993 -0.54198386 -0.56158443 2 "WALKING"
0.33314426 -0.043446917 -0.12619938 0.91703645 -0.35292961 0.015072697 -0.2063597 0.087841036 0.03570985 -0.36324256 -0.096308953 -0.39038358 -0.96241083 -0.9376576 -0.97050983 -0.59927987 -0.53042276 -0.50830233 2 "WALKING"
0.22981714 -0.0026481752 -0.082070626 0.91511272 -0.35755328 0.020471249 -0.10918895 0.01436334 0.1152772 -0.36385083 -0.084507907 -0.4022629 -0.97895151 -0.97778697 -0.97511921 -0.55526814 -0.50746919 -0.49685308 2 "WALKING"
0.23748279 0.0021969913 -0.048945315 0.91791373 -0.34883514 0.02936331 -0.029034383 -0.096515383 0.12606256 -0.41352818 -0.16717209 -0.41275989 -0.98999824 -0.96885053 -0.94916322 -0.56005653 -0.5359693 -0.54770945 2 "WALKING"
0.33150518 -0.036584496 -0.10886677 0.91867588 -0.34407411 0.034632273 2.423013e-05 -0.10164556 0.10003189 -0.4146128 -0.16049444 -0.4266315 -0.9873086 -0.98318893 -0.97261154 -0.61644788 -0.56083872 -0.55276038 2 "WALKING"
0.26663115 -0.043309471 -0.14096216 0.91969806 -0.34874928 0.028757953 0.021095918 -0.11254143 0.079617546 -0.43377813 -0.10164616 -0.41532479 -0.98991992 -0.97481912 -0.9608673 -0.58459495 -0.54368081 -0.51378667 2 "WALKING"
0.24042087 0.0010854188 -0.11888144 0.91880373 -0.35224337 0.023289529 0.023527608 -0.1542316 0.11124867 -0.4333206 -0.097815183 -0.39734057 -0.98868188 -0.98806868 -0.97528476 -0.55491993 -0.53569402 -0.51301861 2 "WALKING"
0.29112809 0.015567293 -0.10429218 0.92053299 -0.34914283 0.022932528 0.0012047073 -0.12134973 0.095014863 -0.40452582 -0.13992573 -0.4314133 -0.98617097 -0.98088619 -0.9831076 -0.59934743 -0.54283845 -0.50511621 2 "WALKING"
0.35552927 -0.023789742 -0.12723972 0.91832348 -0.34748446 0.023607305 -0.020992976 -0.079641493 0.019097657 -0.4094154 -0.16836145 -0.43723441 -0.98073368 -0.99129869 -0.98222799 -0.57930037 -0.54979701 -0.47315495 2 "WALKING"
